timestamp,temp,ac,lights
0,26.47,Off,On
1,26.51,Off,On
2,26.55,Off,On
3,26.55,Off,On
4,26.55,Off,On
5,26.53,Off,On
6,26.52,Off,On
7,26.51,Off,On
8,26.53,Off,On
9,26.5,Off,On
10,26.53,Off,On
11,26.51,Off,On
12,26.53,Off,On
13,26.53,Off,On
14,26.54,Off,On
15,26.53,Off,On
16,26.52,Off,On
17,26.54,Off,On
18,26.53,Off,On
19,26.53,Off,On
20,26.56,Off,On
21,26.55,Off,On
22,26.6,Off,On
23,26.6,Off,On
24,26.68,Off,On
25,26.7,Off,On
26,26.74,Off,On
27,26.74,Off,On
28,26.76,Off,On
29,26.78,Off,On
30,26.76,Off,On
31,26.78,Off,On
32,26.8,Off,On
33,26.83,Off,On
34,26.82,Off,On
35,26.81,Off,On
36,26.82,Off,On
37,26.81,Off,On
38,26.82,Off,On
39,26.82,Off,On
40,26.81,Off,On
41,26.85,Off,On
42,26.84,Off,On
43,26.83,Off,On
44,26.83,Off,On
45,26.81,Off,On
46,26.82,Off,On
47,26.84,Off,On
48,26.85,Off,On
49,26.85,Off,On
50,26.86,Off,On
51,26.86,Off,On
52,26.85,Off,On
53,26.84,Off,On
54,26.85,Off,On
55,26.83,Off,On
56,26.78,Off,On
57,26.75,Off,On
58,26.8,Off,On
59,26.84,Off,On
60,26.83,Off,On
61,26.84,Off,On
62,26.89,Off,On
63,26.91,Off,On
64,26.94,Off,On
65,26.97,Off,On
66,26.96,Off,On
67,26.97,Off,On
68,27.02,Off,On
69,27.04,Off,On
70,27.05,Off,On
71,27.02,Off,On
72,26.98,Off,On
73,27.01,Off,On
74,26.99,Off,On
75,27.02,Off,On
76,27.02,Off,On
77,27.03,Off,On
78,27.04,Off,On
79,27.02,Off,On
80,27.04,Off,On
81,27.05,Off,On
82,27.06,Off,On
83,27.08,Off,On
84,27.11,Off,On
85,27.11,Off,On
86,27.13,Off,On
87,27.14,Off,On
88,27.11,Off,On
89,27.16,Off,On
90,27.17,Off,On
91,27.2,Off,On
92,27.19,Off,On
93,27.2,Off,On
94,27.21,Off,On
95,27.22,Off,On
96,27.21,Off,On
97,27.24,Off,On
98,27.25,Off,On
99,27.3,Off,On
100,27.3,Off,On
101,27.28,Off,On
102,27.29,Off,On
103,27.26,Off,On
104,27.26,Off,On
105,27.31,Off,On
106,27.33,Off,On
107,27.32,Off,On
108,27.31,Off,On
109,27.3,Off,On
110,27.27,Off,On
111,27.26,Off,On
112,27.23,Off,On
113,27.21,Off,On
114,27.19,Off,On
115,27.19,Off,On
116,27.17,Off,On
117,27.19,Off,On
118,27.2,Off,On
119,27.21,Off,On
120,27.2,Off,On
121,27.23,Off,On
122,27.25,Off,On
123,27.26,Off,On
124,27.26,Off,On
125,27.29,Off,On
126,27.31,Off,On
127,27.3,Off,On
128,27.31,Off,On
129,27.33,Off,On
130,27.33,Off,On
131,27.35,Off,On
132,27.36,Off,On
133,27.35,Off,On
134,27.34,Off,On
135,27.35,Off,On
136,27.39,Off,On
137,27.37,Off,On
138,27.36,Off,On
139,27.4,Off,On
140,27.38,Off,On
141,27.39,Off,On
142,27.39,Off,On
143,27.39,Off,On
144,27.4,Off,On
145,27.4,Off,On
146,27.43,Off,On
147,27.43,Off,On
148,27.42,Off,On
149,27.41,Off,On
150,27.4,Off,On
151,27.41,Off,On
152,27.42,Off,On
153,27.45,Off,On
154,27.45,Off,On
155,27.48,Off,On
156,27.48,Off,On
157,27.47,Off,On
158,27.5,Off,On
159,27.51,Off,On
160,27.47,Off,On
161,27.49,Off,On
162,27.47,Off,On
163,27.46,Off,On
164,27.5,Off,On
165,27.53,Off,On
166,27.54,Off,On
167,27.55,Off,On
168,27.52,Off,On
169,27.55,Off,On
170,27.56,Off,On
171,27.58,Off,On
172,27.59,Off,On
173,27.58,Off,On
174,27.59,Off,On
175,27.6,Off,On
176,27.59,Off,On
177,27.59,Off,On
178,27.59,Off,On
179,27.59,Off,On
180,27.62,Off,On
181,27.66,Off,On
182,27.66,Off,On
183,27.67,Off,On
184,27.66,Off,On
185,27.65,Off,On
186,27.65,Off,On
187,27.62,Off,On
188,27.62,Off,On
189,27.62,Off,On
190,27.62,Off,On
191,27.67,Off,On
192,27.68,Off,On
193,27.66,Off,On
194,27.65,Off,On
195,27.67,Off,On
196,27.66,Off,On
197,27.67,Off,On
198,27.68,Off,On
199,27.71,Off,On
200,27.71,Off,On
201,27.7,Off,On
202,27.72,Off,On
203,27.76,Off,On
204,27.77,Off,On
205,27.74,Off,On
206,27.71,Off,On
207,27.73,Off,On
208,27.75,Off,On
209,27.73,Off,On
210,27.73,Off,On
211,27.75,Off,On
212,27.75,Off,On
213,27.74,Off,On
214,27.74,Off,On
215,27.74,Off,On
216,27.7,Off,On
217,27.73,Off,On
218,27.73,Off,On
219,27.76,Off,On
220,27.76,Off,On
221,27.76,Off,On
222,27.75,Off,On
223,27.75,Off,On
224,27.76,Off,On
225,27.76,Off,On
226,27.78,Off,On
227,27.76,Off,On
228,27.75,Off,On
229,27.77,Off,On
230,27.77,Off,On
231,27.77,Off,On
232,27.78,Off,On
233,27.77,Off,On
234,27.77,Off,On
235,27.76,Off,On
236,27.75,Off,On
237,27.75,Off,On
238,27.8,Off,On
239,27.79,Off,On
240,27.78,Off,On
241,27.76,Off,On
242,27.73,Off,On
243,27.74,Off,On
244,27.75,Off,On
245,27.73,Off,On
246,27.76,Off,On
247,27.76,Off,On
248,27.75,Off,On
249,27.79,Off,On
250,27.81,Off,On
251,27.79,Off,On
252,27.81,Off,On
253,27.82,Off,On
254,27.83,Off,On
255,27.82,Off,On
256,27.86,Off,On
257,27.84,Off,On
258,27.83,Off,On
259,27.84,Off,On
260,27.86,Off,On
261,27.85,Off,On
262,27.88,Off,On
263,27.9,Off,On
264,27.9,Off,On
265,27.9,Off,On
266,27.91,Off,On
267,27.9,Off,On
268,27.91,Off,On
269,27.89,Off,On
270,27.9,Off,On
271,27.92,Off,On
272,27.91,Off,On
273,27.9,Off,On
274,27.91,Off,On
275,27.9,Off,On
276,27.89,Off,On
277,27.91,Off,On
278,27.91,Off,On
279,27.89,Off,On
280,27.88,Off,On
281,27.86,Off,On
282,27.86,Off,On
283,27.86,Off,On
284,27.85,Off,On
285,27.84,Off,On
286,27.8,Off,On
287,27.8,Off,On
288,27.82,Off,On
289,27.82,Off,On
290,27.79,Off,On
291,27.79,Off,On
292,27.79,Off,On
293,27.79,Off,On
294,27.79,Off,On
295,27.79,Off,On
296,27.8,Off,On
297,27.79,Off,On
298,27.8,Off,On
299,27.85,Off,On
300,27.77,On,On
301,27.7,On,On
302,27.63,On,On
303,27.53,On,On
