timestamp,temp,ac,lights,occu
0,21.99,Off,Off,0
1,22.01,Off,Off,0
2,22.03,Off,Off,0
3,22.01,Off,Off,0
4,22.02,Off,Off,0
5,22.02,Off,Off,0
6,22.01,Off,Off,0
7,22.02,Off,Off,0
8,22.03,Off,Off,0
9,22.06,Off,Off,0
10,22.06,Off,Off,0
11,22.05,Off,Off,0
12,22.07,Off,Off,0
13,22.06,Off,Off,0
14,22.05,Off,Off,0
15,22.06,Off,Off,0
16,22.09,Off,Off,0
17,22.09,Off,Off,0
18,22.1,Off,Off,0
19,22.1,Off,Off,0
20,22.11,Off,Off,0
21,22.11,Off,Off,0
22,22.11,Off,Off,0
23,22.11,Off,Off,0
24,22.1,Off,Off,0
25,22.12,Off,Off,0
26,22.09,Off,Off,0
27,22.11,Off,Off,0
28,22.12,Off,Off,0
29,22.14,Off,Off,0
30,22.14,Off,Off,0
31,22.14,Off,Off,0
32,22.14,Off,Off,0
33,22.15,Off,Off,0
34,22.13,Off,Off,0
35,22.14,Off,Off,0
36,22.14,Off,Off,0
37,22.15,Off,Off,0
38,22.16,Off,Off,0
39,22.15,Off,Off,0
40,22.14,Off,Off,0
41,22.13,Off,Off,0
42,22.12,Off,Off,0
43,22.1,Off,Off,0
44,22.14,Off,Off,0
45,22.13,Off,Off,0
46,22.16,Off,Off,0
47,22.18,Off,Off,0
48,22.19,Off,Off,0
49,22.22,Off,Off,0
50,22.24,Off,On,0
51,22.27,Off,On,0
52,22.25,Off,On,0
53,22.28,Off,On,0
54,22.29,Off,On,0
55,22.3,Off,On,0
56,22.33,Off,On,0
57,22.36,Off,On,0
58,22.34,Off,On,0
59,22.31,Off,On,0
60,22.32,Off,On,0
61,22.34,Off,On,0
62,22.35,Off,On,0
63,22.35,Off,On,0
64,22.34,Off,On,0
65,22.3,Off,On,0
66,22.28,Off,On,0
67,22.3,Off,On,0
68,22.3,Off,On,0
69,22.28,Off,On,0
70,22.29,Off,On,0
71,22.31,Off,On,0
72,22.32,Off,On,0
73,22.32,Off,On,0
74,22.31,Off,On,0
75,22.31,Off,On,0
76,22.3,Off,On,0
77,22.33,Off,On,0
78,22.31,Off,On,0
79,22.32,Off,On,0
80,22.31,Off,On,0
81,22.3,Off,On,0
82,22.31,Off,On,0
83,22.32,Off,On,0
84,22.33,Off,On,0
85,22.36,Off,On,0
86,22.36,Off,On,0
87,22.34,Off,On,0
88,22.34,Off,On,0
89,22.32,Off,On,0
90,22.31,Off,On,0
91,22.3,Off,On,0
92,22.3,Off,On,0
93,22.29,Off,On,0
94,22.27,Off,On,0
95,22.27,Off,On,0
96,22.29,Off,On,0
97,22.32,Off,On,0
98,22.34,Off,On,0
99,22.36,Off,On,0
100,22.37,Off,On,1
101,22.33,Off,On,2
102,22.32,Off,On,4
103,22.32,Off,On,4
104,22.35,Off,On,4
105,22.32,Off,On,6
